sku,name,category_id,category_name,description,material,colours,sizes,moq,decoration,lead_min,lead_max,sell_price_nzd,buy_price_nzd,tags,image,images,collections,requires_staff_name,active,notes
HP-POLO-01,Branch Polo,staff-apparel,Staff Apparel,"The core Hirepool uniform polo. Moisture-wicking performance fabric, embroidered chest logo, available in orange and charcoal. Suitable for counter, yard, and customer-facing roles.",Moisture-wicking polyester performance fabric,Hirepool Orange|Charcoal|Black,XS|S|M|L|XL|2XL|3XL,12,"Embroidery — chest logo + optional name",4,6,52.00,28.00,polo|uniform|staff|branch|counter,/edge-city/fashion-biz-p200ms-hero.png,/edge-city/fashion-biz-p200ms-navy-white-front.png|/edge-city/fashion-biz-p200ms-navy-white-back.png,Branch Essentials,false,true,
HP-TEE-01,Staff Tee,staff-apparel,Staff Apparel,"Heavyweight 240gsm cotton tee. A step up from a standard promo shirt — holds its shape, holds a print, and gets worn outside of work. Suitable for yard staff, trade events, and internal merch.",240gsm 100% cotton,Black|Navy|Stone,XS|S|M|L|XL|2XL|3XL,12,"Screen-print or DTF — front chest + back option",3,5,38.00,19.00,tee|t-shirt|staff|yard|event|merch,/edge-city/as-colour-1174-hero.png,/edge-city/as-colour-1174-black.png|/edge-city/as-colour-1174-navy.png|/edge-city/as-colour-1174-khaki.png,Branch Essentials,false,true,
HP-HOODIE-01,Team Hoodie,staff-apparel,Staff Apparel,"Midweight brushed-back fleece hoodie. Embroidered chest logo and optional department/branch print on back. Works across site, office, and off-field — the item staff keep.",Midweight brushed-back fleece,Black / Charcoal|Slate / Charcoal|Navy / Charcoal,XS|S|M|L|XL|2XL|3XL,12,"Embroidery — chest logo. Optional back print.",5,7,89.00,45.00,hoodie|fleece|midlayer|staff|office|site,/edge-city/syzmik-hoodie-zt467-hero.png,/edge-city/syzmik-hoodie-zt467-back.png|/edge-city/syzmik-hoodie-Charcoal-Black.png|/edge-city/syzmik-hoodie-Slate-Charcoal.jpeg,,false,true,
HP-CAP-01,Branded Cap,staff-apparel,Staff Apparel,"Six-panel structured cap in heavy cotton twill. Embroidered Hirepool logo to front panel. Available in orange, black, and charcoal.",Heavy cotton twill,Orange|Black|Charcoal,One size,12,Embroidery — front panel,4,6,42.00,21.00,cap|hat|headwear|staff|uniform,/cat-cap.jpg,,Branch Essentials,false,true,
HP-HV-VEST-01,Hi-Vis Vest,safety-hi-vis,Safety & Hi-Vis,"Class D day/night rated safety vest. Hirepool logo screen-printed to back. Lightweight, breathable mesh back, solid front panel. The standard site vest for visiting crews and contractors.","Polyester mesh and solid fabric, Class D rated",Orange|Yellow,S|M|L|XL|2XL|3XL|4XL|5XL,20,"Screen-print — back panel (logo + optional text)",2,4,36.00,16.00,hi-vis|vest|safety|site|yard|class-d|compliance,/edge-city/syzmik-hi-vis-ZH239-hero.png,/edge-city/syzmik-hi-vis-ZH239-front.png|/edge-city/syzmik-hi-vis-ZH239-back.png,Branch Essentials|Safety Programme,false,true,Meets AS/NZS 4602.
HP-HV-SHIRT-01,Hi-Vis Long Sleeve Shirt,safety-hi-vis,Safety & Hi-Vis,"Lightweight cotton/poly blend hi-vis shirt. Two chest pockets, contrast tape shoulder-to-wrist. Embroidered logo to left chest. Suitable for branch and site operations year-round.",Cotton/polyester blend with reflective tape,Orange|Yellow,XS|S|M|L|XL|2XL|3XL|4XL,12,Embroidery — left chest logo,3,5,65.00,33.00,hi-vis|shirt|long-sleeve|safety|site|branch,/edge-city/syzmik-hi-vis-zh320-hero.png,/edge-city/syzmik-hi-vis-zh320-front.png|/edge-city/syzmik-hi-vis-zh320-back.png,Safety Programme,false,true,
HP-HV-POLO-01,Hi-Vis Polo,safety-hi-vis,Safety & Hi-Vis,"Hi-vis rated polo for customer-facing site and branch staff. Performance fabric with contrast reflective tape. Presents well in front of customers while meeting site requirements.",Performance polyester with contrast reflective tape,Orange / Navy|Yellow / Navy,XS|S|M|L|XL|2XL|3XL,12,Embroidery — left chest logo,3,5,58.00,29.00,hi-vis|polo|safety|counter|customer-facing|branch,/edge-city/syzmik-hi-vis-zt867-front.png,,Safety Programme,false,true,
HP-KIT-BRANCH-01,New Branch Opening Kit,branch-kits,Branch Kits,"A curated starter kit for a new Hirepool branch opening. Includes branded polo (x4), staff tee (x4), hi-vis vest (x6), and branded cap (x4) — pre-decorated with Hirepool branding and ready to unbox. Quantity and styles are customisable per branch headcount.",Mixed — per items in kit,Hirepool standard,Kit — sizes specified at order,1,Per-item decoration as specified in kit,5,7,185.00,95.00,kit|branch|opening|polo|tee|hi-vis|cap,/edge-city/placeholder.png,,,false,true,Pricing is per kit at standard quantities. Branch headcount determines final qty.
HP-KIT-COUNTER-01,Counter Essentials Kit,branch-kits,Branch Kits,"Smaller kit designed for counter and customer-facing staff at existing branches. Includes branded polo (x2), staff tee (x2), and cap (x2). Ideal for top-ups when new staff join or existing kit wears out.",Mixed — per items in kit,Hirepool standard,Kit — sizes specified at order,1,Per-item decoration as specified in kit,4,6,140.00,72.00,kit|counter|staff|polo|tee|cap|top-up,/edge-city/placeholder.png,,,false,true,
HP-PACK-TRADE-01,Trade Account Welcome Pack,trade-packs,Trade Packs,"A curated branded pack for new or high-value trade account customers. Includes a branded tee, cap, and insulated bottle — items that get used on-site and keep Hirepool visible beyond the transaction. Packaged in a branded cotton tote.",Mixed — tee / cap / bottle / tote,Hirepool orange,One size (tee sizing captured at fulfilment),10,"Screen-print (tee) · Embroidery (cap) · Laser-etch (bottle)",4,6,85.00,42.00,trade|pack|welcome|customer|bottle|tote|key-account,/edge-city/placeholder.png,,Trade & Customer,false,true,
HP-PACK-CONTRACTOR-01,Contractor Pack,trade-packs,Trade Packs,"A safety-oriented branded pack for contractors working on or around Hirepool equipment. Includes a hi-vis vest (Hirepool-branded back), cap, and branded notebook. Reinforces safe-use messaging while putting Hirepool branding on-site.",Mixed — vest / cap / notebook,Safety orange,One size (vest sizing S-5XL specified at order),10,"Screen-print (vest) · Embroidery (cap) · Deboss (notebook)",4,6,72.00,36.00,contractor|pack|hi-vis|safety|notebook|site,/edge-city/placeholder.png,,Trade & Customer,false,true,
HP-EVENT-TEE-01,Event Tee,event-campaign,Event & Campaign,"A campaign-specific tee for trade days, expos, and activation events. Heavier-weight than a standard promo shirt — people keep it. Available in quick turnaround from approved Hirepool artwork.",200gsm cotton/poly blend,Black|Navy|Orange,XS|S|M|L|XL|2XL|3XL,25,"Screen-print or DTF — front and/or back",2,4,38.00,18.00,tee|event|trade-day|campaign|expo|activation,/edge-city/as-colour-1174-hero.png,/edge-city/as-colour-1174-black.png|/edge-city/as-colour-1174-navy.png,,false,true,
HP-PACK-CAMPAIGN-01,Safety Campaign Pack,event-campaign,Event & Campaign,"A bundled safety campaign pack for seasonal or compliance-driven pushes. Configurable contents — typically a hi-vis vest, printed tote, and campaign-specific notebook or printed card. Minimum 50 packs. Easily reordered with updated artwork each season.",Mixed — vest / tote / notebook,Campaign-specific,One size pack,50,"Per-item — screen-print, pad-print, or laser-etch",4,6,95.00,48.00,safety|campaign|pack|hi-vis|tote|notebook|seasonal|compliance,/edge-city/placeholder.png,,,false,true,Minimum 50 packs. Artwork per campaign.
